"aɪ"	"V"	"VV"
"i.gaːn"	"V.CVC"	"V.CVVC"
"i.hɛn"	"V.CVC"	"V.CVC"
"i.hɪm"	"V.CVC"	"V.CVC"
"i.ji.nan"	"V.CV.CVC"	"V.CV.CVC"
"i.jɪn"	"V.CVC"	"V.CVC"
"i.kam"	"V.CVC"	"V.CVC"
"i.kan"	"V.CVC"	"V.CVC"
"i.ka.na.jan"	"V.CV.CV.CVC"	"V.CV.CV.CVC"
"i.ka.naŋ"	"V.CV.CVC"	"V.CV.CVC"
"i.kan.ja"	"V.CVC.CV"	"V.CVC.CV"
"i.kan.taɪ"	"V.CVC.CV"	"V.CVC.CVV"
"i.kan.vaːn.ja"	"V.CVC.CVC.CV"	"V.CVC.CVVC.CV"
"i.ka.pi.sa"	"V.CV.CV.CV"	"V.CV.CV.CV"
"i.kas"	"V.CVC"	"V.CVC"
"i.la.go.nan"	"V.CV.CV.CVC"	"V.CV.CV.CVC"
"i.li.saːn"	"V.CV.CVC"	"V.CV.CVVC"
"i.lɔn"	"V.CVC"	"V.CVC"
"i.mas"	"V.CVC"	"V.CVC"
"i.mɛŋ"	"V.CVC"	"V.CVC"
"i.nʊn"	"V.CVC"	"V.CVC"
"i.nu.na.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"i.pan"	"V.CVC"	"V.CVC"
"i.pɔn.dan"	"V.CVC.CVC"	"V.CVC.CVC"
"i.praŋ"	"V.CCVC"	"V.CCVC"
"i.pu"	"V.CV"	"V.CV"
"i.raɪ"	"V.CV"	"V.CVV"
"i.ra.jan"	"V.CV.CVC"	"V.CV.CVC"
"i.ra.ji.su"	"V.CV.CV.CV"	"V.CV.CV.CV"
"i.ran"	"V.CVC"	"V.CVC"
"i.ran.jam"	"V.CVC.CVC"	"V.CVC.CVC"
"i.ri"	"V.CV"	"V.CV"
"i.rʊm"	"V.CVC"	"V.CVC"
"i.rɪŋ"	"V.CVC"	"V.CVC"
"i.rɔɪ"	"V.CV"	"V.CVV"
"i.sam"	"V.CVC"	"V.CVC"
"i.tan"	"V.CVC"	"V.CVC"
"i.tan.jam"	"V.CVC.CVC"	"V.CVC.CVC"
"i.tɪŋ"	"V.CVC"	"V.CVC"
"i.to"	"V.CV"	"V.CV"
"i.traɪ"	"V.CCV"	"V.CCVV"
"ja"	"CV"	"CV"
"jaː"	"CV"	"CVV"
"jaːɪ"	"CV"	"CVVV"
"ja.gu"	"CV.CV"	"CV.CV"
"ja.jam"	"CV.CVC"	"CV.CVC"
"jaːm"	"CVC"	"CVVC"
"ja.man"	"CV.CVC"	"CV.CVC"
"ja.ma.na.ti"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ja.ma.ni.saːn"	"CV.CV.CV.CVC"	"CV.CV.CV.CVVC"
"jam.va"	"CVC.CV"	"CVC.CV"
"jam.vaŋ"	"CVC.CVC"	"CVC.CVC"
"jan"	"CVC"	"CVC"
"ja.na"	"CV.CV"	"CV.CV"
"ja.nan"	"CV.CVC"	"CV.CVC"
"ja.nən"	"CV.CVC"	"CV.CVC"
"jaŋ"	"CVC"	"CVC"
"jaːŋ"	"CVC"	"CVVC"
"jan.jam"	"CVC.CVC"	"CVC.CVC"
"ja.nɪŋ.ɔn"	"CV.CVC.VC"	"CV.CVC.VC"
"ja.no"	"CV.CV"	"CV.CV"
"ja.nɔɪ"	"CV.CV"	"CV.CVV"
"ja.no.a.van"	"CV.CV.V.CVC"	"CV.CV.V.CVC"
"ja.no.jam"	"CV.CV.CVC"	"CV.CV.CVC"
"ja.no.naŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"jan.van"	"CVC.CVC"	"CVC.CVC"
"ja.ri"	"CV.CV"	"CV.CV"
"jaː.rɪl"	"CV.CVC"	"CVV.CVC"
"jas"	"CVC"	"CVC"
"jaːs"	"CVC"	"CVVC"
"ja.sa"	"CV.CV"	"CV.CV"
"jə"	"CV"	"CV"
"je.a"	"CV.V"	"CV.V"
"je.jam"	"CV.CVC"	"CV.CVC"
"je.la"	"CV.CV"	"CV.CV"
"je.laŋ"	"CV.CVC"	"CV.CVC"
"je.laŋ.sa.saːn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVVC"
"jɛn"	"CVC"	"CVC"
"je.na"	"CV.CV"	"CV.CV"
"jɛŋ"	"CVC"	"CVC"
"je.nu"	"CV.CV"	"CV.CV"
"je.nu.kar.daŋ"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"je.ri"	"CV.CV"	"CV.CV"
"jɛs"	"CVC"	"CVC"
"je.sa"	"CV.CV"	"CV.CV"
"je.taŋ"	"CV.CVC"	"CV.CVC"
"ji.la"	"CV.CV"	"CV.CV"
"jo"	"CV"	"CV"
"jo.a"	"CV.V"	"CV.V"
"jo.jam"	"CV.CVC"	"CV.CVC"
"jo.maːn"	"CV.CVC"	"CV.CVVC"
"jo.mɪŋ"	"CV.CVC"	"CV.CVC"
"jɔn"	"CVC"	"CVC"
"jo.na"	"CV.CV"	"CV.CV"
"jo.naŋ"	"CV.CVC"	"CV.CVC"
"jɔŋ"	"CVC"	"CVC"
"jo.raɪ"	"CV.CV"	"CV.CVV"
"jo.ri"	"CV.CV"	"CV.CV"
"jo.rɔs"	"CV.CVC"	"CV.CVC"
"jɔs"	"CVC"	"CVC"
"jo.sa"	"CV.CV"	"CV.CV"
"ju.ka.naɪ.kɔn"	"CV.CV.CV.CVC"	"CV.CV.CVV.CVC"
"ju.tan"	"CV.CVC"	"CV.CVC"
"kaɪ"	"CV"	"CVV"
"ka.bu"	"CV.CV"	"CV.CV"
"kaɪ.bu.naɪ"	"CV.CV.CV"	"CVV.CV.CVV"
"ka.da"	"CV.CV"	"CV.CV"
"ka.da.maɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ka.daːn"	"CV.CVC"	"CV.CVVC"
"ka.daŋ"	"CV.CVC"	"CV.CVC"
"ka.dan.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ka.dan.jaːn"	"CV.CVC.CVC"	"CV.CVC.CVVC"
"ka.daː.rə"	"CV.CV.CV"	"CV.CVV.CV"
"ka.di.san"	"CV.CV.CVC"	"CV.CV.CVC"
"ka.di.su"	"CV.CV.CV"	"CV.CV.CV"
"ka.gan"	"CV.CVC"	"CV.CVC"
"ka.gu"	"CV.CV"	"CV.CV"
"ka.han"	"CV.CVC"	"CV.CVC"
"ka.hu"	"CV.CV"	"CV.CV"
"ka.jan"	"CV.CVC"	"CV.CVC"
"kaː.jan"	"CV.CVC"	"CVV.CVC"
"ka.jan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"ka.ka.sam"	"CV.CV.CVC"	"CV.CV.CVC"
"kal"	"CVC"	"CVC"
"ka.lʊɪ"	"CV.CV"	"CV.CVV"
"ka.lam"	"CV.CVC"	"CV.CVC"
"ka.la.man"	"CV.CV.CVC"	"CV.CV.CVC"
"kal.pa.sɪŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"ka.lɪr"	"CV.CVC"	"CV.CVC"
"ka.lu.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"kal.vi.na"	"CVC.CV.CV"	"CVC.CV.CV"
"ka.ma.ja"	"CV.CV.CV"	"CV.CV.CV"
"ka.man"	"CV.CVC"	"CV.CVC"
"kam.ba"	"CVC.CV"	"CVC.CV"
"kam.ja"	"CVC.CV"	"CVC.CV"
"ka.mo"	"CV.CV"	"CV.CV"
"ka.mu"	"CV.CV"	"CV.CV"
"kan"	"CVC"	"CVC"
"ka.naː.jɔn"	"CV.CV.CVC"	"CV.CVV.CVC"
"ka.naːn"	"CV.CVC"	"CV.CVVC"
"ka.nan.van"	"CV.CVC.CVC"	"CV.CVC.CVC"
"kaŋ"	"CVC"	"CVC"
"kaŋ.a"	"CVC.V"	"CVC.V"
"kaŋ.an"	"CVC.VC"	"CVC.VC"
"kaŋ.ka"	"CVC.CV"	"CVC.CV"
"ka.ni.su"	"CV.CV.CV"	"CV.CV.CV"
"kan.to"	"CVC.CV"	"CVC.CV"
"ka.pan"	"CV.CVC"	"CV.CVC"
"ka.pɛn"	"CV.CVC"	"CV.CVC"
"ka.po"	"CV.CV"	"CV.CV"
"ka.pu.no"	"CV.CV.CV"	"CV.CV.CV"
"kar"	"CVC"	"CVC"
"ka.ra"	"CV.CV"	"CV.CV"
"kaɪ.ra"	"CV.CV"	"CVV.CV"
"ka.raːn"	"CV.CVC"	"CV.CVVC"
"ka.raŋ"	"CV.CVC"	"CV.CVC"
"ka.ra.no"	"CV.CV.CV"	"CV.CV.CV"
"kar.daŋ"	"CVC.CVC"	"CVC.CVC"
"kar.daŋ.i.raɪ"	"CVC.CVC.V.CV"	"CVC.CVC.V.CVV"
"kar.i.ra.jan"	"CVC.V.CV.CVC"	"CVC.V.CV.CVC"
"ka.ri.sa"	"CV.CV.CV"	"CV.CV.CV"
"ka.ri.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"ka.ri.taːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"kaːr.jo"	"CVC.CV"	"CVVC.CV"
"ka.ro.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ka.rɔn"	"CV.CVC"	"CV.CVC"
"kar.saŋ"	"CVC.CVC"	"CVC.CVC"
"kar.tal"	"CVC.CVC"	"CVC.CVC"
"ka.sɔɪ"	"CV.CV"	"CV.CVV"
"ka.su"	"CV.CV"	"CV.CV"
"ka.ta.hɪn"	"CV.CV.CVC"	"CV.CV.CVC"
"kaɪ.tan"	"CV.CVC"	"CVV.CVC"
"ka.teɪ"	"CV.CV"	"CV.CVV"
"kaɪ.ti.su"	"CV.CV.CV"	"CVV.CV.CV"
"kaɪ.to"	"CV.CV"	"CVV.CV"
"kaɪ.to.maɪ"	"CV.CV.CV"	"CVV.CV.CVV"
"ka.tu"	"CV.CV"	"CV.CV"
"kaɪ.vaɪ"	"CV.CV"	"CVV.CVV"
"kaɪ.van"	"CV.CVC"	"CVV.CVC"
"kaɪ.vaːn"	"CV.CVC"	"CVV.CVVC"
"kaɪ.vo"	"CV.CV"	"CVV.CV"
"kaɪ.vo.lɛn.tan"	"CV.CV.CVC.CVC"	"CVV.CV.CVC.CVC"
"kaɪ.vo.ma.ja"	"CV.CV.CV.CV"	"CVV.CV.CV.CV"
"ke.baɪ"	"CV.CV"	"CV.CVV"
"ke.ba.je.na"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ke.gan"	"CV.CVC"	"CV.CVC"
"ke.hɪn"	"CV.CVC"	"CV.CVC"
"ke.laŋ"	"CV.CVC"	"CV.CVC"
"ke.laŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"ke.laŋ.i.su"	"CV.CVC.V.CV"	"CV.CVC.V.CV"
"ke.laŋ.i.swan"	"CV.CVC.V.CCVC"	"CV.CVC.V.CCVC"
"ke.ma"	"CV.CV"	"CV.CV"
"ke.man"	"CV.CVC"	"CV.CVC"
"ke.maːn"	"CV.CVC"	"CV.CVVC"
"keɪ.nam"	"CV.CVC"	"CVV.CVC"
"ke.paʊ"	"CV.CV"	"CV.CVV"
"ke.sa"	"CV.CV"	"CV.CV"
"keɪ.tɛn"	"CV.CVC"	"CVV.CVC"
"ki.has"	"CV.CVC"	"CV.CVC"
"ki.ja"	"CV.CV"	"CV.CV"
"ki.jan"	"CV.CVC"	"CV.CVC"
"ki.ji.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"ki.jɔɪ"	"CV.CV"	"CV.CVV"
"ki.ki.na"	"CV.CV.CV"	"CV.CV.CV"
"ki.li.saːr.ja"	"CV.CV.CVC.CV"	"CV.CV.CVVC.CV"
"ki.li.su"	"CV.CV.CV"	"CV.CV.CV"
"ki.maɪ"	"CV.CV"	"CV.CVV"
"ki.man.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ki.na"	"CV.CV"	"CV.CV"
"ki.naː.jɔn"	"CV.CV.CVC"	"CV.CVV.CVC"
"ki.paː.ja"	"CV.CV.CV"	"CV.CVV.CV"
"ki.pʊn"	"CV.CVC"	"CV.CVC"
"ki.ri.na.laŋ"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"ki.rɪn"	"CV.CVC"	"CV.CVC"
"ki.tas"	"CV.CVC"	"CV.CVC"
"ki.va.ja"	"CV.CV.CV"	"CV.CV.CV"
"ki.vo"	"CV.CV"	"CV.CV"
"kɪm.ban"	"CVC.CVC"	"CVC.CVC"
"kɪm.bi.san"	"CVC.CV.CVC"	"CVC.CV.CVC"
"kɪm.bɪs"	"CVC.CVC"	"CVC.CVC"
"kɪm.bu.raŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"ko.dan"	"CV.CVC"	"CV.CVC"
"ko.han"	"CV.CVC"	"CV.CVC"
"ko.ja"	"CV.CV"	"CV.CV"
"ko.ja.ba.hɪs"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"kɔɪ.kan"	"CV.CVC"	"CVV.CVC"
"ko.ko.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"ko.lʊn"	"CV.CVC"	"CV.CVC"
"ko.mi.la"	"CV.CV.CV"	"CV.CV.CV"
"kɔn.dan"	"CVC.CVC"	"CVC.CVC"
"kɔn.daŋ.a"	"CVC.CVC.V"	"CVC.CVC.V"
"kɔŋ"	"CVC"	"CVC"
"kɔŋ.an"	"CVC.VC"	"CVC.VC"
"kɔŋ.eɪ"	"CVC.V"	"CVC.VV"
"kɔŋ.i.saːn"	"CVC.V.CVC"	"CVC.V.CVVC"
"kɔŋ.i.su"	"CVC.V.CV"	"CVC.V.CV"
"kɔŋ.kjan"	"CVC.CCVC"	"CVC.CCVC"
"kɔn.tar"	"CVC.CVC"	"CVC.CVC"
"kɔn.ta.raŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"ko.po"	"CV.CV"	"CV.CV"
"ko.ro.naːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"ko.tas"	"CV.CVC"	"CV.CVC"
"ko.var.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ko.va.ro"	"CV.CV.CV"	"CV.CV.CV"
"krʊɪ"	"CCV"	"CCVV"
"kri.taːn"	"CCV.CVC"	"CCV.CVVC"
"kri.to"	"CCV.CV"	"CCV.CV"
"kru.jan"	"CCV.CVC"	"CCV.CVC"
"kʊɪ.saːn"	"CV.CVC"	"CVV.CVVC"
"tʃu"	"CV"	"CCV"
"ku.ban"	"CV.CVC"	"CV.CVC"
"ku.de.baŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"ku.gʊɪ"	"CV.CV"	"CV.CVV"
"ku.gu"	"CV.CV"	"CV.CV"
"ku.ha.ja"	"CV.CV.CV"	"CV.CV.CV"
"ku.han"	"CV.CVC"	"CV.CVC"
"tʃu.jam"	"CV.CVC"	"CCV.CVC"
"tʃu.ja.man"	"CV.CV.CVC"	"CCV.CV.CVC"
"ku.kaɪ"	"CV.CV"	"CV.CVV"
"ku.mɛŋ"	"CV.CVC"	"CV.CVC"
"tʃu.na"	"CV.CV"	"CCV.CV"
"tʃu.nan"	"CV.CVC"	"CCV.CVC"
"ku.naŋ"	"CV.CVC"	"CV.CVC"
"ku.na.sja.ra"	"CV.CV.CCV.CV"	"CV.CV.CCV.CV"
"ku.ni.ru"	"CV.CV.CV"	"CV.CV.CV"
"ku.ran"	"CV.CVC"	"CV.CVC"
"ku.raŋ"	"CV.CVC"	"CV.CVC"
"ku.ri.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"ku.saŋ"	"CV.CVC"	"CV.CVC"
"ku.saŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"ku.saŋ.ku.saŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"ku.taːn"	"CV.CVC"	"CV.CVVC"
"ku.tʊn"	"CV.CVC"	"CV.CVC"
"ku.tɪŋ"	"CV.CVC"	"CV.CVC"
"ku.tɪn.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"laɪ"	"CV"	"CVV"
"la.ban"	"CV.CVC"	"CV.CVC"
"la.daŋ"	"CV.CVC"	"CV.CVC"
"la.ga.sɪm"	"CV.CV.CVC"	"CV.CV.CVC"
"la.han"	"CV.CVC"	"CV.CVC"
"la.has"	"CV.CVC"	"CV.CVC"
"la.jaːɪ"	"CV.CV"	"CV.CVVV"
"laɪ.jɔn"	"CV.CVC"	"CVV.CVC"
"la.kaɪ"	"CV.CV"	"CV.CVV"
"la.ka.daŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"la.kan"	"CV.CVC"	"CV.CVC"
"la.ku.mo"	"CV.CV.CV"	"CV.CV.CV"
"la.ma"	"CV.CV"	"CV.CV"
"la.ma.ke.nal"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"lam.ba.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"lan"	"CVC"	"CVC"
"la.nan"	"CV.CVC"	"CV.CVC"
"la.nan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"laŋ"	"CVC"	"CVC"
"lan.ja"	"CVC.CV"	"CVC.CV"
"lan.ta.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"lan.ta.mi.daɪ"	"CVC.CV.CV.CV"	"CVC.CV.CV.CVV"
"lan.va.ja"	"CVC.CV.CV"	"CVC.CV.CV"
"la.pan"	"CV.CVC"	"CV.CVC"
"la.pʊŋ"	"CV.CVC"	"CV.CVC"
"la.raʊ"	"CV.CV"	"CV.CVV"
"la.tʊn"	"CV.CVC"	"CV.CVC"
"la.tʊŋ.ke.ma"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"la.va"	"CV.CV"	"CV.CV"
"le.da.ja"	"CV.CV.CV"	"CV.CV.CV"
"le.dan"	"CV.CVC"	"CV.CVC"
"le.do"	"CV.CV"	"CV.CV"
"le.jan"	"CV.CVC"	"CV.CVC"
"le.no"	"CV.CV"	"CV.CV"
"lɛn.ta.kaɪ"	"CVC.CV.CV"	"CVC.CV.CVV"
"lɛn.tan"	"CVC.CVC"	"CVC.CVC"
"lɛn.taŋ.ku.saŋ"	"CVC.CVC.CV.CVC"	"CVC.CVC.CV.CVC"
"le.paɪ"	"CV.CV"	"CV.CVV"
"le.pan"	"CV.CVC"	"CV.CVC"
"leː.ra"	"CV.CV"	"CVV.CV"
"leː.ra.ja.man"	"CV.CV.CV.CVC"	"CVV.CV.CV.CVC"
"leː.raː.jɔn"	"CV.CV.CVC"	"CVV.CVV.CVC"
"leː.ra.ti"	"CV.CV.CV"	"CVV.CV.CV"
"le.sa.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"li.haːn"	"CV.CVC"	"CV.CVVC"
"li.ma"	"CV.CV"	"CV.CV"
"li.mu"	"CV.CV"	"CV.CV"
"li.ta"	"CV.CV"	"CV.CV"
"li.ta.jə"	"CV.CV.CV"	"CV.CV.CV"
"li.ti.san"	"CV.CV.CVC"	"CV.CV.CVC"
"li.to"	"CV.CV"	"CV.CV"
"lɪm.ban.ta"	"CVC.CVC.CV"	"CVC.CVC.CV"
"lʊn.da"	"CVC.CV"	"CVC.CV"
"lɪn.dam"	"CVC.CVC"	"CVC.CVC"
"lɪŋ"	"CVC"	"CVC"
"lɪŋ.kaːn"	"CVC.CVC"	"CVC.CVVC"
"lɪn.ja"	"CVC.CV"	"CVC.CV"
"lɪn.jo.naŋ"	"CVC.CV.CVC"	"CVC.CV.CVC"
"lo.maː.ja"	"CV.CV.CV"	"CV.CVV.CV"
"lo.nu"	"CV.CV"	"CV.CV"
"lo.nu.pa.ta"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"lu.ga"	"CV.CV"	"CV.CV"
"lu.ga.jam"	"CV.CV.CVC"	"CV.CV.CVC"
"lu.dʒa.man"	"CV.CV.CVC"	"CV.CCV.CVC"
"lu.gaːn"	"CV.CVC"	"CV.CVVC"
"lu.ga.naŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"lu.jan"	"CV.CVC"	"CV.CVC"
"lu.ju"	"CV.CV"	"CV.CV"
"lu.kaɪ"	"CV.CV"	"CV.CVV"
"lu.lan"	"CV.CVC"	"CV.CVC"
"ma.bo"	"CV.CV"	"CV.CV"
"ma.bɔn"	"CV.CVC"	"CV.CVC"
"ma.ga.ja"	"CV.CV.CV"	"CV.CV.CV"
"ma.ha"	"CV.CV"	"CV.CV"
"ma.haːn"	"CV.CVC"	"CV.CVVC"
"ma.har"	"CV.CVC"	"CV.CVC"
"ma.ja.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.ji.sa"	"CV.CV.CV"	"CV.CV.CV"
"ma.ji.tan"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.ju"	"CV.CV"	"CV.CV"
"ma.ka"	"CV.CV"	"CV.CV"
"ma.ka.gi.su"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ma.ka.lan"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.kaŋ"	"CV.CVC"	"CV.CVC"
"ma.ka.no"	"CV.CV.CV"	"CV.CV.CV"
"ma.ka.praŋ"	"CV.CV.CCVC"	"CV.CV.CCVC"
"ma.kaːr.ja"	"CV.CVC.CV"	"CV.CVVC.CV"
"ma.ki.na.va"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ma.kɪm"	"CV.CVC"	"CV.CVC"
"maɪ.kɔŋ"	"CV.CVC"	"CVV.CVC"
"mal"	"CVC"	"CVC"
"ma.lan"	"CV.CVC"	"CV.CVC"
"ma.lan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"ma.li.no"	"CV.CV.CV"	"CV.CV.CV"
"mal.jan"	"CVC.CVC"	"CVC.CVC"
"ma.lɪŋ"	"CV.CVC"	"CV.CVC"
"ma.lɪŋ.ka.rɔn"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"maɪ.ma.ja"	"CV.CV.CV"	"CVV.CV.CV"
"ma.maŋ"	"CV.CVC"	"CV.CVC"
"ma.na"	"CV.CV"	"CV.CV"
"ma.nan"	"CV.CVC"	"CV.CVC"
"ma.naŋ"	"CV.CVC"	"CV.CVC"
"man.daɪ"	"CVC.CV"	"CVC.CVV"
"man.dan"	"CVC.CVC"	"CVC.CVC"
"man.dɔɪ"	"CVC.CV"	"CVC.CVV"
"maŋ.aː.ja"	"CVC.V.CV"	"CVC.VV.CV"
"maŋ.an"	"CVC.VC"	"CVC.VC"
"maŋ.aːn"	"CVC.VC"	"CVC.VVC"
"maŋ.a.no"	"CVC.V.CV"	"CVC.V.CV"
"maŋ.a.sa.ha"	"CVC.V.CV.CV"	"CVC.V.CV.CV"
"maŋ.a.sa.ra"	"CVC.V.CV.CV"	"CVC.V.CV.CV"
"maŋ.ja.man"	"CVC.CV.CVC"	"CVC.CV.CVC"
"ma.ni.sa"	"CV.CV.CV"	"CV.CV.CV"
"ma.ni.saːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"man.tɪŋ"	"CVC.CVC"	"CVC.CVC"
"ma.paŋ"	"CV.CVC"	"CV.CVC"
"ma.paŋ.seɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"ma.ra.jo"	"CV.CV.CV"	"CV.CV.CV"
"ma.raŋ"	"CV.CVC"	"CV.CVC"
"ma.rar.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"ma.ras"	"CV.CVC"	"CV.CVC"
"ma.ras.ha.ri"	"CV.CVC.CV.CV"	"CV.CVC.CV.CV"
"ma.ri.pʊn.ta.jam"	"CV.CV.CVC.CV.CVC"	"CV.CV.CVC.CV.CVC"
"ma.ri.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ma.ri.ta.jan"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"mar.kan"	"CVC.CVC"	"CVC.CVC"
"ma.rɪn"	"CV.CVC"	"CV.CVC"
"ma.rɪŋ"	"CV.CVC"	"CV.CVC"
"ma.rɔɪ"	"CV.CV"	"CV.CVV"
"ma.sa.ha.taɪ"	"CV.CV.CV.CV"	"CV.CV.CV.CVV"
"ma.sʊŋ"	"CV.CVC"	"CV.CVC"
"ma.taɪ"	"CV.CV"	"CV.CVV"
"ma.ta.dan"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.tʃam"	"CV.CVC"	"CV.CCVC"
"ma.tan"	"CV.CVC"	"CV.CVC"
"ma.ti.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.ti.kaɪ"	"CV.CV.CV"	"CV.CV.CVV"
"ma.ti.kaːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"ma.ti.kan"	"CV.CV.CVC"	"CV.CV.CVC"
"ma.ti.ki.san"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"ma.ti.ki.su"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ma.ti.ma.ti"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ma.ti.nan.dɪŋ"	"CV.CV.CVC.CVC"	"CV.CV.CVC.CVC"
"ma.to"	"CV.CV"	"CV.CV"
"ma.to.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"maː.va"	"CV.CV"	"CVV.CV"
"ma.vaɪ"	"CV.CV"	"CV.CVV"
"maː.va.ga.nɛŋ"	"CV.CV.CV.CVC"	"CVV.CV.CV.CVC"
"ma.vi"	"CV.CV"	"CV.CV"
"ma.vi.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"ɪm.braɪ"	"VC.CCV"	"VC.CCVV"
"me.ga"	"CV.CV"	"CV.CV"
"me.hi.mi.traŋ"	"CV.CV.CV.CCVC"	"CV.CV.CV.CCVC"
"me.hi.sɪŋ.aɪ"	"CV.CV.CVC.V"	"CV.CV.CVC.VV"
"me.hɪr"	"CV.CVC"	"CV.CVC"
"me.hɪr.ga.taŋ"	"CV.CVC.CV.CVC"	"CV.CVC.CV.CVC"
"me.la.kam"	"CV.CV.CVC"	"CV.CV.CVC"
"me.lʊŋ"	"CV.CVC"	"CV.CVC"
"mɛm.ba"	"CVC.CV"	"CVC.CV"
"mɛm.baːn"	"CVC.CVC"	"CVC.CVVC"
"mɛn"	"CVC"	"CVC"
"me.nan"	"CV.CVC"	"CV.CVC"
"me.nan.ja"	"CV.CVC.CV"	"CV.CVC.CV"
"me.nan.jam"	"CV.CVC.CVC"	"CV.CVC.CVC"
"mɛŋ.kaɪ"	"CVC.CV"	"CVC.CVV"
"mɛn.i.ka.nɛŋ"	"CVC.V.CV.CVC"	"CVC.V.CV.CVC"
"mɛn.jo"	"CVC.CV"	"CVC.CV"
"me.nu.no"	"CV.CV.CV"	"CV.CV.CV"
"me.nwaŋ"	"CV.CCVC"	"CV.CCVC"
"me.paːn"	"CV.CVC"	"CV.CVVC"
"me.pa.no"	"CV.CV.CV"	"CV.CV.CV"
"me.ram.baɪ"	"CV.CVC.CV"	"CV.CVC.CVV"
"me.rɛŋ"	"CV.CVC"	"CV.CVC"
"me.saɪ"	"CV.CV"	"CV.CVV"
"me.sam"	"CV.CVC"	"CV.CVC"
"me.sa.man"	"CV.CV.CVC"	"CV.CV.CVC"
"me.ta"	"CV.CV"	"CV.CV"
"me.taɪ"	"CV.CV"	"CV.CVV"
"me.taː.hal"	"CV.CV.CVC"	"CV.CVV.CVC"
"me.ti.da"	"CV.CV.CV"	"CV.CV.CV"
"mi.daɪ"	"CV.CV"	"CV.CVV"
"mi.da.jan"	"CV.CV.CVC"	"CV.CV.CVC"
"mi.de.ru"	"CV.CV.CV"	"CV.CV.CV"
"mi.di.hʊɪ"	"CV.CV.CV"	"CV.CV.CVV"
"mi.ga.ran"	"CV.CV.CVC"	"CV.CV.CVC"
"mi.go.raɪ"	"CV.CV.CV"	"CV.CV.CVV"
"mi.go.taɪ"	"CV.CV.CV"	"CV.CV.CVV"
